id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-03-21 16:17:31,"{""short_code"":""tdmg9e"",""original_url"":""https://hackstack.io/urban/meadow/1""}"
2,2,400,created,2025-04-23 16:16:08,"{""short_code"":""mHdxDS"",""original_url"":""https://opswise.net/ivory/beacon/2""}"
3,3,207,created,2025-10-26 17:19:34,"{""short_code"":""gytjN5"",""original_url"":""https://seeded.app/urban/pioneer/3""}"
4,4,50,created,2025-05-07 06:58:24,"{""short_code"":""9kU2fX"",""original_url"":""https://acme.dev/amber/harvest/4""}"
5,5,398,created,2026-01-05 18:22:02,"{""short_code"":""xgVdJF"",""original_url"":""https://acme.dev/mellow/engine/5""}"
6,6,306,created,2025-12-19 18:16:13,"{""short_code"":""JgruMV"",""original_url"":""https://opswise.net/amber/journey/6""}"
7,7,191,created,2025-04-06 23:00:12,"{""short_code"":""755rT3"",""original_url"":""https://opswise.net/calm/orbit/7""}"
8,8,24,created,2025-10-03 23:49:07,"{""short_code"":""zhaF3v"",""original_url"":""https://hackstack.io/opal/window/8""}"
9,9,206,created,2025-11-17 10:56:35,"{""short_code"":""WWSQd4"",""original_url"":""https://acme.dev/proud/harvest/9""}"
10,10,261,created,2025-03-10 12:37:30,"{""short_code"":""aZuM6N"",""original_url"":""https://seeded.app/calm/meadow/10""}"
11,11,187,created,2025-09-04 07:56:56,"{""short_code"":""vIcCkM"",""original_url"":""https://acme.dev/proud/river/11""}"
12,12,294,created,2025-01-20 02:25:05,"{""short_code"":""WlsOYa"",""original_url"":""https://seeded.app/silver/field/12""}"
13,13,207,created,2025-04-05 13:06:44,"{""short_code"":""W6209s"",""original_url"":""https://hackstack.io/forest/valley/13""}"
14,14,59,created,2025-01-20 13:10:03,"{""short_code"":""bPFDZz"",""original_url"":""https://relay.cloud/urban/meadow/14""}"
15,15,92,created,2025-04-15 20:00:06,"{""short_code"":""q7vFY1"",""original_url"":""https://relay.cloud/tidy/river/15""}"
16,16,227,created,2025-04-10 07:26:17,"{""short_code"":""Hj71v9"",""original_url"":""https://opswise.net/urban/canyon/16""}"
17,17,242,created,2025-02-26 17:41:03,"{""short_code"":""4XP11J"",""original_url"":""https://relay.cloud/ember/harvest/17""}"
18,18,304,created,2025-08-16 05:57:35,"{""short_code"":""nb28ao"",""original_url"":""https://opswise.net/quiet/orbit/18""}"
19,19,133,created,2025-02-25 09:32:47,"{""short_code"":""yfcBTF"",""original_url"":""https://acme.dev/quiet/pioneer/19""}"
20,20,12,created,2025-12-21 01:16:33,"{""short_code"":""qU4vyz"",""original_url"":""https://hackstack.io/clear/journey/20""}"
21,21,289,created,2025-06-06 04:43:38,"{""short_code"":""eYoxlG"",""original_url"":""https://opswise.net/navy/uplink/21""}"
22,22,16,created,2025-06-05 20:09:28,"{""short_code"":""7R9o71"",""original_url"":""https://relay.cloud/jade/signal/22""}"
23,23,293,created,2025-07-01 18:12:45,"{""short_code"":""gYjvzK"",""original_url"":""https://example.com/ivory/orbit/23""}"
24,24,194,created,2025-04-11 10:30:25,"{""short_code"":""W2sCXg"",""original_url"":""https://relay.cloud/brisk/uplink/24""}"
25,25,331,created,2025-06-15 07:53:11,"{""short_code"":""3wbzAm"",""original_url"":""https://seeded.app/young/pioneer/25""}"
26,26,81,created,2025-04-29 04:04:42,"{""short_code"":""wM3RFy"",""original_url"":""https://example.com/navy/engine/26""}"
27,27,15,created,2025-08-19 21:13:29,"{""short_code"":""hsZeUQ"",""original_url"":""https://relay.cloud/forest/quartz/27""}"
28,28,11,created,2026-02-09 04:39:36,"{""short_code"":""oHcbXI"",""original_url"":""https://relay.cloud/ember/harvest/28""}"
29,29,324,created,2026-01-19 01:38:26,"{""short_code"":""uNjZZJ"",""original_url"":""https://acme.dev/brisk/garden/29""}"
30,30,184,created,2025-03-24 12:48:32,"{""short_code"":""oVLhxc"",""original_url"":""https://seeded.app/rapid/network/30""}"
31,31,290,created,2025-12-27 22:18:24,"{""short_code"":""3cFyGK"",""original_url"":""https://example.com/quiet/signal/31""}"
32,32,269,created,2025-08-24 16:34:18,"{""short_code"":""sF0RZl"",""original_url"":""https://relay.cloud/harbor/kernel/32""}"
33,33,68,created,2025-03-09 05:36:22,"{""short_code"":""OnrOVA"",""original_url"":""https://seeded.app/lively/quartz/33""}"
