Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775323697,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775323698,10,,Aggregated,0.000000,0.000000,23,32,41,47,71,93,110,120,120,120,120,300,0,22,31.675037963189727,3.6529220087686554,124.48385599418543,34705.46
1775323699,20,,Aggregated,0.000000,0.000000,38,53,70,79,110,140,170,190,220,220,220,576,0,38,50.52802687504886,3.6529220087686554,215.76591600023676,45682.60590277778
1775323700,30,,Aggregated,60.000000,0.000000,51,78,100,120,150,190,240,250,290,290,290,813,0,51,70.67538489548085,3.6529220087686554,289.36803599935956,51082.44772447724
1775323701,40,,Aggregated,178.500000,0.000000,68,110,140,150,230,300,360,390,520,520,520,972,0,67,97.685184390965,3.6529220087686554,524.5150689879665,56568.92798353909
1775323702,40,,Aggregated,209.333333,0.000000,81,140,170,210,280,350,370,390,460,520,520,1129,0,81,118.56926132501985,3.6529220087686554,524.5150689879665,57290.14968999114
1775323703,40,,Aggregated,212.500000,0.000000,99,150,210,230,300,350,380,400,460,520,520,1325,0,99,132.24958893042364,3.6529220087686554,524.5150689879665,56139.36905660378
1775323704,40,,Aggregated,200.200000,0.000000,120,180,220,250,320,360,390,400,500,520,520,1490,0,120,142.6564162394896,3.6529220087686554,524.5150689879665,56490.96912751678
1775323705,40,,Aggregated,194.500000,0.000000,130,190,240,260,340,370,400,430,520,530,530,1647,0,130,153.54008745104804,3.6529220087686554,529.5747260097414,56616.17182756527
1775323706,40,,Aggregated,195.142857,0.000000,130,210,250,280,350,390,450,600,960,990,990,1716,0,130,164.66937362754766,3.6529220087686554,985.4326480126474,58225.76282051282
1775323707,40,,Aggregated,192.375000,0.000000,140,220,260,290,360,400,630,750,1200,1200,1200,1863,0,140,178.01995574233706,3.6529220087686554,1249.8413680004887,58945.315083199144
1775323708,40,,Aggregated,185.666667,0.000000,150,230,270,310,370,410,600,740,1100,1200,1200,2025,0,150,185.28159465926072,3.6529220087686554,1249.8413680004887,60905.06469135803
1775323709,40,,Aggregated,173.900000,0.000000,160,230,280,310,380,430,550,730,1100,1200,1200,2169,0,160,190.5538197952452,3.6529220087686554,1249.8413680004887,62669.53711387736
1775323710,40,,Aggregated,185.000000,0.000000,160,240,280,310,380,430,540,710,1100,1200,1200,2352,0,160,193.33069969638464,3.6529220087686554,1249.8413680004887,62433.709608843536
1775323711,40,,Aggregated,168.300000,0.000000,170,240,280,320,380,430,540,700,1100,1200,1200,2503,0,170,196.62714442306,3.6529220087686554,1249.8413680004887,63955.53655613264
1775323712,40,,Aggregated,157.600000,0.000000,180,250,290,320,390,450,550,700,1100,1200,1200,2651,0,180,202.29873229079905,3.6529220087686554,1249.8413680004887,64685.12674462467
