Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775323913,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775323914,20,,Aggregated,0.000000,0.000000,62,81,92,98,120,140,160,180,210,210,210,277,0,62,64.5077852672008,1.7238950094906613,206.33696499862708,65178.01083032491
1775323915,40,,Aggregated,0.000000,0.000000,82,100,120,130,160,180,190,210,270,270,270,630,0,82,88.88740987320142,1.7238950094906613,266.1650259979069,56988.79523809524
1775323916,60,,Aggregated,96.000000,0.000000,100,140,170,190,260,320,380,420,450,450,450,878,0,100,127.00840144547523,1.7238950094906613,453.94786800898146,59917.23917995444
1775323917,80,,Aggregated,190.000000,0.000000,130,190,240,270,330,440,530,550,600,630,630,1101,0,130,167.37453227173953,1.7238950094906613,626.5565189969493,61938.43687556766
1775323918,100,,Aggregated,238.333333,0.000000,160,250,300,330,440,530,590,620,700,710,710,1313,0,160,207.52744616620808,1.7238950094906613,709.4213710079202,63350.53617669459
1775323920,100,,Aggregated,235.200000,0.000000,190,290,360,400,520,640,820,880,970,990,990,1482,0,190,247.07498252842316,1.7238950094906613,988.5968580056215,64818.62213225371
1775323921,100,,Aggregated,222.833333,0.000000,240,330,400,430,580,750,890,940,1100,1100,1100,1677,0,240,278.8114369977457,1.7238950094906613,1099.6521549968747,64232.25044722719
1775323922,100,,Aggregated,192.285714,0.000000,270,370,430,480,690,820,890,940,1100,1100,1100,1834,0,260,309.53640629778425,1.7238950094906613,1099.6521549968747,65907.97491821156
1775323923,100,,Aggregated,189.000000,0.000000,280,390,460,550,740,850,940,1000,1100,1200,1200,1922,0,280,333.51825436998735,1.7238950094906613,1162.7288369927555,67991.19198751301
1775323924,100,,Aggregated,191.555556,0.000000,300,420,540,650,850,1000,1200,1200,1400,1400,1400,2039,0,300,375.5018357660893,1.7238950094906613,1432.3400240100455,69292.12064737617
1775323925,100,,Aggregated,186.200000,0.000000,330,440,590,680,840,1000,1200,1200,1400,1400,1400,2213,0,330,392.3770766819296,1.7238950094906613,1432.3400240100455,69665.46181653863
1775323926,100,,Aggregated,184.000000,0.000000,360,500,640,700,840,980,1200,1200,1400,1400,1400,2348,0,360,410.4776197137751,1.7238950094906613,1432.3400240100455,71690.11839863713
1775323927,100,,Aggregated,171.700000,0.000000,370,550,670,720,860,1000,1100,1200,1400,1400,1400,2466,0,370,428.07493729681204,1.7238950094906613,1432.3400240100455,73346.26236820762
1775323928,100,,Aggregated,152.500000,0.000000,390,580,690,750,890,1000,1100,1200,1400,1400,1400,2600,0,390,445.2697454077135,1.7238950094906613,1432.3400240100455,74995.00346153846
