Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775323883,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775323884,40,,Aggregated,0.000000,0.000000,59,65,67,69,74,79,110,130,150,150,150,740,0,59,52.14750047274031,23.267579003004357,147.26449600129854,259.0
1775323885,80,,Aggregated,0.000000,0.000000,68,75,85,110,110,120,130,180,310,310,310,1598,0,68,72.08348203438094,13.962111988803372,309.18831400049385,259.0
1775323887,120,,Aggregated,691.500000,0.000000,81,110,120,130,180,180,190,260,340,370,370,2387,0,81,96.21739930497995,13.962111988803372,373.4272200090345,259.0
1775323888,160,,Aggregated,604.000000,0.000000,110,130,180,180,240,300,330,340,420,510,510,3001,0,110,125.94333064482731,13.962111988803372,511.8066529976204,259.0
1775323889,200,,Aggregated,536.000000,0.000000,120,180,230,270,310,350,370,380,520,560,560,3601,0,120,156.9731958570391,13.962111988803372,561.012820005999,259.0
1775323890,200,,Aggregated,562.000000,0.000000,140,240,300,310,360,380,390,390,510,560,560,4171,0,140,183.28609287751738,13.962111988803372,561.012820005999,259.0
1775323891,200,,Aggregated,568.666667,0.000000,180,300,320,330,380,380,390,390,510,560,560,4745,0,180,203.46482719281968,13.962111988803372,561.012820005999,259.0
1775323892,200,,Aggregated,570.428571,0.000000,220,310,340,350,380,390,400,400,490,560,560,5280,0,220,219.4139480848653,13.962111988803372,561.012820005999,259.0
1775323893,200,,Aggregated,570.125000,0.000000,270,330,360,370,390,420,480,530,560,570,570,5748,0,270,237.02892628951935,13.962111988803372,566.3232700026128,259.0
1775323894,200,,Aggregated,569.444444,0.000000,300,330,360,370,390,420,470,520,550,570,570,6325,0,300,247.308067617292,13.962111988803372,566.3232700026128,259.0
1775323895,200,,Aggregated,557.800000,0.000000,310,350,370,380,390,420,460,520,550,570,570,6851,0,310,256.39306036127624,13.962111988803372,566.3232700026128,259.0
1775323896,200,,Aggregated,560.200000,0.000000,320,350,370,380,410,460,490,520,550,570,570,7272,0,320,267.66610348473984,13.962111988803372,566.3232700026128,259.0
1775323897,200,,Aggregated,532.100000,0.000000,320,360,380,390,450,480,540,550,570,590,590,7697,0,320,279.94565848034875,13.962111988803372,592.0732759987004,259.0
1775323898,200,,Aggregated,534.500000,0.000000,330,370,390,400,460,490,530,550,570,590,590,8161,0,330,288.86508940684416,13.962111988803372,592.0732759987004,259.0
