Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775323948,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775323949,20,,Aggregated,0.000000,0.000000,36,42,44,46,50,55,68,78,95,95,95,543,0,36,35.867712361194386,10.668422997696325,95.37450900825206,184.77900552486187
1775323950,40,,Aggregated,0.000000,0.000000,45,51,71,80,88,92,99,110,120,130,130,1125,0,45,51.21686653091779,10.668422997696325,126.1862090032082,183.08
1775323951,60,,Aggregated,3.000000,0.000000,67,81,87,93,120,130,130,140,140,160,160,1715,0,67,67.73997305314744,10.668422997696325,155.64696099318098,182.34460641399417
1775323954,80,,Aggregated,436.250000,0.000000,79,95,120,130,150,230,250,260,280,280,280,2164,0,79,88.15380404672655,10.668422997696325,284.97611900093034,182.61229205175601
1775323955,80,,Aggregated,368.200000,0.000000,85,120,140,150,240,260,280,290,310,320,320,2530,0,85,106.10379618382046,10.668422997696325,320.19157099421136,182.92687747035572
1775323956,80,,Aggregated,359.666667,0.000000,92,140,160,180,260,290,320,340,460,480,480,2810,0,92,121.85460291673418,10.668422997696325,476.9922139967093,182.63238434163702
1775323957,80,,Aggregated,360.857143,0.000000,110,150,190,250,290,320,420,460,510,530,530,3086,0,110,138.8863393587053,10.668422997696325,526.9778549991315,182.54601425793908
1775323958,80,,Aggregated,350.875000,0.000000,130,170,230,250,290,320,410,460,510,530,530,3471,0,130,147.13660677265767,10.668422997696325,526.9778549991315,182.8766925957937
1775323959,80,,Aggregated,341.888889,0.000000,140,170,240,250,290,310,400,460,510,530,530,3869,0,140,153.07856162438802,10.668422997696325,526.9778549991315,182.66037735849056
1775323960,80,,Aggregated,346.200000,0.000000,150,180,240,250,280,310,400,450,510,530,530,4266,0,150,157.14724360469637,10.668422997696325,526.9778549991315,182.6040787623066
1775323961,80,,Aggregated,385.400000,0.000000,150,190,250,260,290,320,390,450,510,530,530,4586,0,150,163.30381010353557,10.668422997696325,526.9778549991315,182.764282599215
1775323962,80,,Aggregated,368.700000,0.000000,160,200,250,260,300,330,390,440,510,530,530,4890,0,160,169.53861430348186,10.668422997696325,526.9778549991315,183.07014314928426
1775323963,80,,Aggregated,342.500000,0.000000,160,220,250,270,310,340,380,440,500,530,530,5196,0,160,174.95336613973322,10.668422997696325,526.9778549991315,182.96632024634334
1775323964,80,,Aggregated,313.600000,0.000000,170,220,260,270,310,340,380,420,500,530,530,5538,0,170,178.81856010963534,10.668422997696325,526.9778549991315,182.89219934994583
