Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775323470,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775323471,10,,Aggregated,0.000000,0.000000,88,100,150,160,190,200,250,250,250,250,250,46,0,80,89.16949015237269,2.4341679963981733,248.00168198999017,418652.89130434784
1775323472,20,,Aggregated,0.000000,0.000000,68,100,160,170,250,1500,1500,1500,1500,1500,1500,75,0,68,208.68981799964482,2.4341679963981733,1498.357186006615,580332.0666666667
1775323473,30,,Aggregated,17.000000,0.000000,100,210,450,1200,1400,1500,1500,1500,1500,1500,1500,98,0,99,400.7915123053993,2.4341679963981733,1505.5067729990697,797209.9081632653
1775323474,40,,Aggregated,23.500000,0.000000,290,630,1100,1300,1500,1500,1500,1600,1700,1700,1700,144,0,290,538.1486327771402,2.4341679963981733,1741.4536169962958,834289.7222222222
1775323475,40,,Aggregated,26.333333,0.000000,450,720,1200,1400,1500,1600,1700,1700,1800,1800,1800,184,0,440,623.0770937495633,2.4341679963981733,1820.2133230079198,779133.0489130435
1775323476,40,,Aggregated,25.250000,0.000000,660,990,1100,1300,1500,1600,1700,1700,2600,2600,2600,223,0,660,692.5693901609802,2.4341679963981733,2619.0170609916095,767499.403587444
1775323477,40,,Aggregated,31.200000,0.000000,680,990,1100,1300,1500,1600,1800,2000,2600,2600,2600,229,0,680,712.9912337681734,2.4341679963981733,2619.0170609916095,800517.519650655
1775323478,40,,Aggregated,32.500000,0.000000,720,1000,1300,1400,1700,2100,2200,2400,2600,2600,2600,264,0,720,822.8005487535208,2.4341679963981733,2619.0170609916095,850197.5037878788
1775323479,40,,Aggregated,32.142857,0.000000,740,1100,1400,1500,2100,2500,2600,2700,3400,3400,3400,295,0,740,917.9430918474051,2.4341679963981733,3370.5435980082257,820978.8372881355
1775323480,40,,Aggregated,28.875000,0.000000,800,1200,1500,1700,2100,2500,2600,2700,3400,3400,3400,322,0,790,970.496156596156,2.4341679963981733,3370.5435980082257,845042.1366459627
1775323481,40,,Aggregated,29.888889,0.000000,810,1200,1500,1700,2100,2500,2600,2700,3400,3400,3400,337,0,810,981.7950069345654,2.4341679963981733,3370.5435980082257,890439.5964391691
1775323482,40,,Aggregated,29.900000,0.000000,900,1400,1600,1900,2100,2400,2600,2700,3400,3400,3400,361,0,900,1026.472822880731,2.4341679963981733,3370.5435980082257,888184.6094182825
1775323483,40,,Aggregated,30.800000,0.000000,960,1400,1700,2000,2200,2600,2700,2800,3400,3400,3400,383,0,960,1104.1724813053252,2.4341679963981733,3370.5435980082257,949061.3211488251
1775323484,40,,Aggregated,29.900000,0.000000,990,1500,1900,2000,2300,2600,2700,3000,3600,3600,3600,398,0,990,1146.6115270551525,2.4341679963981733,3634.04698499653,972044.2914572865
1775323485,40,,Aggregated,28.400000,0.000000,1000,1500,1900,2100,2500,2600,2800,3000,4000,4000,4000,418,0,1000,1191.2169236673165,2.4341679963981733,3992.9859680123627,999220.4880382775
1775323487,40,,Aggregated,24.400000,0.000000,1100,1600,1900,2100,2300,2600,2800,3000,4000,4000,4000,443,0,1100,1212.2249322910277,2.4341679963981733,3992.9859680123627,965917.3273137697
1775323488,40,,Aggregated,22.800000,0.000000,1100,1700,2000,2100,2400,2600,2800,3000,4000,4000,4000,456,0,1100,1236.8041330502597,2.4341679963981733,3992.9859680123627,991726.620614035
1775323489,40,,Aggregated,19.900000,0.000000,1100,1700,2000,2100,2500,2600,2800,3000,4000,4000,4000,465,0,1100,1259.0765303503708,2.4341679963981733,3992.9859680123627,1004616.9720430108
1775323490,40,,Aggregated,21.600000,0.000000,1300,1900,2100,2100,2600,2800,3300,3500,4000,4000,4000,485,0,1300,1334.5433232885157,2.4341679963981733,3992.9859680123627,1028581.4618556701
